ttl,ip_flags,ip_len,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,is_tcp,is_udp,is_icmp,flow_duration_log,flow_pps_norm,flow_bps_norm,syn_ratio,three_way_handshake_ratio,half_open_connections,window_1s_pps,window_1s_bps,window_1s_syn_ratio,label
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7533894741928625,0.11830764476897512,0.8638237130462537,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7536434407950944,0.11913999603175277,0.8698997919213948,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7658924032132333,0.21200559901344007,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7661372304901432,0.21277710597893607,1.0,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7544980140559795,0.11983555788732732,0.8749771067373225,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7544980140559795,0.1207232286864927,0.8814571035712297,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7672067185093954,0.21321927679771463,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7672067185093954,0.2140860218253476,1.0,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.755826709010809,0.12130644388364943,0.8857141300497411,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7561121832442202,0.122126148966679,0.8916978818755491,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7680879425427073,0.21459959051871755,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7684900112779914,0.21530340417882288,1.0,0.0,0,0,180,132702,0.0,0
52,DF,564,443,34146,,N/A,N/A,N/A,0,1,0,0.7684900112779914,0.2161680764847619,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7687266873739318,0.21693699809494765,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.769037343357312,0.21767520207195837,1.0,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.769037343357312,0.2185389925563709,1.0,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7577113462671063,0.12264113859851142,0.8954567738390593,0.0,0,0,180,132702,0.0,0
64,DF,73,34146,443,,N/A,N/A,N/A,0,1,0,0.7577113462671063,0.12352344894814099,0.9018976393913551,0.0,0,0,180,132702,0.0,0
52,DF,1228,443,34146,,N/A,N/A,N/A,0,1,0,0.7702487639870824,0.21890822505592122,1.0,0.0,0,0,180,132702,0.0,0
52,DF,301,443,34146,,N/A,N/A,N/A,0,1,0,0.7705436116803028,0.21964947185839226,1.0,0.0,0,0,180,132702,0.0,0
64,DF,74,34146,443,,N/A,N/A,N/A,0,1,0,0.7589515138218497,0.12411584598808195,0.9063097519810581,0.0,0,0,180,132702,0.0,0
64,DF,74,34146,443,,N/A,N/A,N/A,0,1,0,0.7591059802800557,0.12495980455963185,0.9125585727347761,0.0,0,0,180,132702,0.0,0
53,DF,52,443,60316,SA,3676231164,3059775116,42340,1,0,0,0.0009995003330835331,1.0,1.0,0.0,0,0,180,132702,0.0,0
128,DF,40,60316,443,A,3059775116,3676231165,255,1,0,0,0.021013835897742503,0.14126833649560464,0.6780880151789023,0.6666666666666666,0.5,1,180,132702,0.0,0
128,DF,40,60316,443,A,3059775116,3676231165,255,1,0,0,0.02137726825774963,0.1851217725206338,0.8515601535949154,0.5,1.0,0,180,132702,0.0,0
128,DF,602,60316,443,PA,3059775116,3676231165,255,1,0,0,0.021743134782150876,0.22746670137533082,1.0,0.4,1.5,-1,180,132702,0.0,0
128,DF,602,60316,443,PA,3059775116,3676231165,255,1,0,0,0.022284222474879156,0.2662599348258496,1.0,0.3333333333333333,2.0,-2,180,132702,0.0,0
52,DF,56,443,34146,,N/A,N/A,N/A,0,1,0,0.7725928933443261,0.2196720501987446,1.0,0.0,0,0,180,132702,0.0,0
128,DF,40,59834,443,A,1411924606,2904938874,255,1,0,0,0.2531928847729723,0.010411904887994492,0.7038447704284277,0.0,0,-3,180,132702,0.0,0
128,DF,40,59832,443,A,632469959,353525600,251,1,0,0,0.25199130791084184,0.010468103798260268,0.7460268640226817,0.0,0,-3,180,132702,0.0,0
128,DF,40,59834,443,A,1411924606,2904938874,255,1,0,0,0.25407666267830936,0.013827881073676593,0.7149014515090798,0.0,0,-4,180,132702,0.0,0
128,DF,40,59832,443,A,632469959,353525600,251,1,0,0,0.252703020201656,0.01391300194217268,0.7575629557513024,0.0,0,-4,180,132702,0.0,0
53,DF,40,443,60316,A,3676231165,3059775678,82,1,0,0,0.011122842006488044,0.17881201372753822,0.8225352631466758,0.0,0,-1,180,132702,0.0,0
53,DF,284,443,60316,PA,3676231165,3059775678,83,1,0,0,0.012468954618032612,0.23910067267130317,1.0,0.0,0,-2,180,132702,0.0,0
128,DF,1492,60316,443,A,3059775678,3676231409,255,1,0,0,0.03290099661003679,0.20927870441650273,1.0,0.2857142857142857,2.5,-3,180,132702,0.0,0
128,DF,1492,60316,443,A,3059777130,3676231409,255,1,0,0,0.03377889368912226,0.23285679983899957,1.0,0.25,3.0,-4,180,132702,0.0,0
128,DF,1492,60316,443,A,3059778582,3676231409,255,1,0,0,0.03377889368912226,0.2619638998188746,1.0,0.2222222222222222,3.5,-5,180,132702,0.0,0
